FID,OBJECTID,NAMOBJ,LUASWH,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,Shape
0,91924,Gubug,366.1015916,1,Tabanan,Gubug,Tabanan,Bali,Polygon ZM
1,91925,Gulingan,521.8826516,1,Mengwi,Gulingan,Badung,Bali,Polygon ZM
2,91926,Kemenuh,698.8783616,1,Sukawati,Kemenuh,Gianyar,Bali,Polygon ZM
3,91927,Kenderan,639.4961271,1,Tegallalang,Kenderan,Gianyar,Bali,Polygon ZM
4,91928,Lukluk,407.9861805,2,Mengwi,Lukluk,Badung,Bali,Polygon ZM
5,91929,Lumbung,732.8302097,1,Selemadeg Barat,Lumbung,Tabanan,Bali,Polygon ZM
6,91930,Lumbung Kauh,973.8983367,1,Selemadeg Barat,Lumbung Kauh,Tabanan,Bali,Polygon ZM
7,91931,Bunga Mekar,1696.617155,1,Nusa Penida,Bunga Mekar,Klungkung,Bali,Polygon ZM
8,91932,Bungaya,321.8840707,1,Bebandem,Bungaya,Karangasem,Bali,Polygon ZM
9,91933,Bungaya Kangin,301.9472668,1,Bebandem,Bungaya Kangin,Karangasem,Bali,Polygon ZM
10,91934,Bungbungan,300.2568658,1,Banjarangkan,Bungbungan,Klungkung,Bali,Polygon ZM
11,91935,Bungkulan,868.4359753,1,Sawan,Bungkulan,Buleleng,Bali,Polygon ZM
12,91936,Bunutan,3746.348506,1,Abang,Bunutan,Karangasem,Bali,Polygon ZM
13,91937,Bunutin,296.8472388,1,Bangli,Bunutin,Bangli,Bali,Polygon ZM
14,91938,Bunutin,342.038884,1,Kintamani,Bunutin,Bangli,Bali,Polygon ZM
15,91939,Buruan,292.734043,1,Penebel,Buruan,Tabanan,Bali,Polygon ZM
16,91940,Buruan,412.0448676,1,Blahbatuh,Buruan,Gianyar,Bali,Polygon ZM
17,91941,Busungbiu,512.1662322,1,Busungbiu,Busungbiu,Buleleng,Bali,Polygon ZM
18,91942,Gumbrih,1407.812122,1,Pekutatan,Gumbrih,Jembrana,Bali,Polygon ZM
19,91943,Gunaksa,743.0959745,1,Dawan,Gunaksa,Klungkung,Bali,Polygon ZM
20,91944,Gunung Salak,711.4338255,1,Selemadeg Timur,Gunung Salak,Tabanan,Bali,Polygon ZM
21,91945,Kendran,35.25885451,2,Buleleng,Kendran,Buleleng,Bali,Polygon ZM
22,91946,Keramas,424.1353769,1,Blahbatuh,Keramas,Gianyar,Bali,Polygon ZM
23,91947,Kerambitan,155.1980594,1,Kerambitan,Kerambitan,Tabanan,Bali,Polygon ZM
24,91948,Luwus,645.8577216,1,Baturiti,Luwus,Tabanan,Bali,Polygon ZM
25,91949,Macang,212.7212816,1,Bebandem,Macang,Karangasem,Bali,Polygon ZM
26,91950,Madenan,1063.459932,1,Tejakula,Madenan,Buleleng,Bali,Polygon ZM
27,91951,Buwit,275.6568346,1,Kediri,Buwit,Tabanan,Bali,Polygon ZM
28,91952,Candikuning,2319.127873,1,Baturiti,Candikuning,Tabanan,Bali,Polygon ZM
29,91953,Candikusuma,803.1517956,1,Melaya,Candikusuma,Jembrana,Bali,Polygon ZM
30,91954,Gunungbau,147.6762127,1,Kintamani,Gunungbau,Bangli,Bali,Polygon ZM
31,91955,Gunungsari,293.1077807,1,Seririt,Gunungsari,Buleleng,Bali,Polygon ZM
32,91956,Guwang,291.5685406,1,Sukawati,Guwang,Gianyar,Bali,Polygon ZM
33,91957,Jagapati,180.2887543,1,Abiansemal,Jagapati,Badung,Bali,Polygon ZM
34,91958,Jagaraga,416.3659543,1,Sawan,Jagaraga,Buleleng,Bali,Polygon ZM
35,91959,Kerobokan,442.3173266,2,Kuta Utara,Kerobokan,Badung,Bali,Polygon ZM
36,91960,Kerobokan,253.3300102,1,Sawan,Kerobokan,Buleleng,Bali,Polygon ZM
37,91961,Kerobokan Kaja,337.8226194,2,Kuta Utara,Kerobokan Kaja,Badung,Bali,Polygon ZM
38,91962,Kerobokan Kelod,779.1428631,2,Kuta Utara,Kerobokan Kelod,Badung,Bali,Polygon ZM
39,91963,Mambal,358.2650833,1,Abiansemal,Mambal,Badung,Bali,Polygon ZM
40,91964,Mambang,733.0862092,1,Selemadeg Timur,Mambang,Tabanan,Bali,Polygon ZM
41,91965,Manduang,243.8025289,1,Klungkung,Manduang,Klungkung,Bali,Polygon ZM
42,91966,Manggis,938.0729108,1,Manggis,Manggis,Karangasem,Bali,Polygon ZM
43,91967,Canggu,563.4181956,1,Kuta Utara,Canggu,Badung,Bali,Polygon ZM
44,91968,Carangsari,564.914765,1,Petang,Carangsari,Badung,Bali,Polygon ZM
45,91969,Catur,1083.198456,1,Kintamani,Catur,Bangli,Bali,Polygon ZM
46,91970,Jatiluwih,2338.558893,1,Penebel,Jatiluwih,Tabanan,Bali,Polygon ZM
47,91971,Jegu,387.224805,1,Penebel,Jegu,Tabanan,Bali,Polygon ZM
48,91972,Jehem,847.5458779,1,Tembuku,Jehem,Bangli,Bali,Polygon ZM
49,91973,Kerta,1703.25553,1,Payangan,Kerta,Gianyar,Bali,Polygon ZM
50,91974,Manggissari,1396.785049,1,Pekutatan,Manggissari,Jembrana,Bali,Polygon ZM
51,91975,Mangguh,242.0592625,1,Kintamani,Mangguh,Bangli,Bali,Polygon ZM
52,91976,Cau Belayu,419.2495902,1,Marga,Cau Belayu,Tabanan,Bali,Polygon ZM
53,91977,Celuk,170.0751904,1,Sukawati,Celuk,Gianyar,Bali,Polygon ZM
54,91978,Celukanbawang,398.6980517,1,Gerokgak,Celukanbawang,Buleleng,Bali,Polygon ZM
55,91979,Cemagi,475.0652753,1,Mengwi,Cemagi,Badung,Bali,Polygon ZM
56,91980,Jelijih Punggang,797.8658593,1,Pupuan,Jelijih Punggang,Tabanan,Bali,Polygon ZM
57,91981,Jimbaran,2270.925582,2,Kuta Selatan,Jimbaran,Badung,Bali,Polygon ZM
58,91982,Jinengdalem,248.4937439,1,Buleleng,Jinengdalem,Buleleng,Bali,Polygon ZM
59,91983,Kertha Buana,227.2691278,1,Sidemen,Kertha Buana,Karangasem,Bali,Polygon ZM
60,91984,Kertha Mandala,518.5849215,1,Abang,Kertha Mandala,Karangasem,Bali,Polygon ZM
61,91985,Kesiman,298.9005124,2,Denpasar Timur,Kesiman,Kota Denpasar,Bali,Polygon ZM
62,91986,Bengkel,279.1842552,1,Kediri,Bengkel,Tabanan,Bali,Polygon ZM
63,91987,Bengkel,477.6033313,1,Busungbiu,Bengkel,Buleleng,Bali,Polygon ZM
64,91988,Bengkel Sari,667.2960853,1,Selemadeg Barat,Bengkel Sari,Tabanan,Bali,Polygon ZM
65,91989,Benoa,2603.665693,2,Kuta Selatan,Benoa,Badung,Bali,Polygon ZM
66,91990,Cempaga,461.2318286,2,Bangli,Cempaga,Bangli,Bali,Polygon ZM
67,91991,Cempaga,835.315291,1,Banjar,Cempaga,Buleleng,Bali,Polygon ZM
68,91992,Cepaka,212.4117064,1,Kediri,Cepaka,Tabanan,Bali,Polygon ZM
69,91993,Culik,315.1404779,1,Abang,Culik,Karangasem,Bali,Polygon ZM
70,91994,Cupel,246.7051856,1,Negara,Cupel,Jembrana,Bali,Polygon ZM
71,91995,Dajan Peken,220.9982948,1,Tabanan,Dajan Peken,Tabanan,Bali,Polygon ZM
72,91996,Joanyar,206.0042969,1,Seririt,Joanyar,Buleleng,Bali,Polygon ZM
73,91997,Julah,595.8664944,1,Tejakula,Julah,Buleleng,Bali,Polygon ZM
74,91998,Kesiman Kertalangu,558.0794106,1,Denpasar Timur,Kesiman Kertalangu,Kota Denpasar,Bali,Polygon ZM
75,91999,Kesiman Petilan,324.9161502,1,Denpasar Timur,Kesiman Petilan,Kota Denpasar,Bali,Polygon ZM
76,92000,Beraban,331.4126524,1,Selemadeg Timur,Beraban,Tabanan,Bali,Polygon ZM
77,92001,Beraban,776.4845333,1,Kediri,Beraban,Tabanan,Bali,Polygon ZM
78,92002,Berangbang,2246.737375,1,Negara,Berangbang,Jembrana,Bali,Polygon ZM
79,92003,Dalang,866.0347005,1,Selemadeg Timur,Dalang,Tabanan,Bali,Polygon ZM
80,92004,Dalung,664.7638835,1,Kuta Utara,Dalung,Badung,Bali,Polygon ZM
81,92005,Jumpai,162.4102946,1,Klungkung,Jumpai,Klungkung,Bali,Polygon ZM
82,92006,Jungutan,2430.15731,1,Bebandem,Jungutan,Karangasem,Bali,Polygon ZM
83,92007,Jungutbatu,594.949838,1,Nusa Penida,Jungutbatu,Klungkung,Bali,Polygon ZM
84,92008,Kesimpar,151.4479695,1,Abang,Kesimpar,Karangasem,Bali,Polygon ZM
85,92009,Kesiut,240.5307396,1,Kerambitan,Kesiut,Tabanan,Bali,Polygon ZM
86,92010,Beratan,28.39808192,2,Buleleng,Beratan,Buleleng,Bali,Polygon ZM
87,92011,Berembeng,418.3596562,1,Selemadeg,Berembeng,Tabanan,Bali,Polygon ZM
88,92012,Dangin Puri,50.74853393,2,Denpasar Timur,Dangin Puri,Kota Denpasar,Bali,Polygon ZM
89,92013,Dangin Puri Kaja,113.013642,1,Denpasar Utara,Dangin Puri Kaja,Kota Denpasar,Bali,Polygon ZM
90,92014,Dangin Puri Kangin,105.6246779,1,Denpasar Utara,Dangin Puri Kangin,Kota Denpasar,Bali,Polygon ZM
91,92015,Dangin Puri Kauh,41.55746505,1,Denpasar Utara,Dangin Puri Kauh,Kota Denpasar,Bali,Polygon ZM
92,92016,Dangin Puri Kelod,135.3831028,1,Denpasar Timur,Dangin Puri Kelod,Kota Denpasar,Bali,Polygon ZM
93,92017,Kaba-kaba,456.1935005,1,Kediri,Kaba-kaba,Tabanan,Bali,Polygon ZM
94,92018,Kaliakah,1697.615214,1,Negara,Kaliakah,Jembrana,Bali,Polygon ZM
95,92019,Kalianget,271.217913,1,Seririt,Kalianget,Buleleng,Bali,Polygon ZM
96,92020,Ketewel,640.5985501,1,Sukawati,Ketewel,Gianyar,Bali,Polygon ZM
97,92021,Kintamani,1458.222954,1,Kintamani,Kintamani,Bangli,Bali,Polygon ZM
98,92022,Klumpu,1255.345528,1,Nusa Penida,Klumpu,Klungkung,Bali,Polygon ZM
99,92023,Kubu,347.4583743,2,Bangli,Kubu,Bangli,Bali,Polygon ZM
100,92024,Kubu,669.23404,1,Kubu,Kubu,Karangasem,Bali,Polygon ZM
101,92025,Kubutambahan,1459.941811,1,Kubutambahan,Kubutambahan,Buleleng,Bali,Polygon ZM
102,92026,Beringkit Belayu,152.8752619,1,Marga,Beringkit Belayu,Tabanan,Bali,Polygon ZM
103,92027,Besakih,3099.413531,1,Rendang,Besakih,Karangasem,Bali,Polygon ZM
104,92028,Besan,516.3042342,1,Dawan,Besan,Klungkung,Bali,Polygon ZM
105,92029,Bestala,214.632315,1,Seririt,Bestala,Buleleng,Bali,Polygon ZM
106,92030,Dangintukadaya,563.7629728,1,Jembrana,Dangintukadaya,Jembrana,Bali,Polygon ZM
107,92031,Darmasaba,592.1512461,1,Abiansemal,Darmasaba,Badung,Bali,Polygon ZM
108,92032,Kaliasem,632.1838711,1,Banjar,Kaliasem,Buleleng,Bali,Polygon ZM
109,92033,Kalibukbuk,323.3406852,1,Buleleng,Kalibukbuk,Buleleng,Bali,Polygon ZM
110,92034,Kalisada,282.8364599,1,Seririt,Kalisada,Buleleng,Bali,Polygon ZM
111,92035,Kaliuntu,70.31375772,2,Buleleng,Kaliuntu,Buleleng,Bali,Polygon ZM
112,92036,Kamasan,84.71163631,1,Klungkung,Kamasan,Klungkung,Bali,Polygon ZM
113,92037,Kampung Anyar,21.88086126,2,Buleleng,Kampung Anyar,Buleleng,Bali,Polygon ZM
114,92038,Kukuh,226.8246706,1,Kerambitan,Kukuh,Tabanan,Bali,Polygon ZM
115,92039,Kukuh,369.1042017,1,Marga,Kukuh,Tabanan,Bali,Polygon ZM
116,92040,Kusamba,222.2606404,1,Dawan,Kusamba,Klungkung,Bali,Polygon ZM
117,92041,Biaung,554.5604308,1,Penebel,Biaung,Tabanan,Bali,Polygon ZM
118,92042,Bila,468.6042522,1,Kubutambahan,Bila,Buleleng,Bali,Polygon ZM
119,92043,Binyan,207.5695708,1,Kintamani,Binyan,Bangli,Bali,Polygon ZM
120,92044,Bitera,389.8090261,2,Gianyar,Bitera,Gianyar,Bali,Polygon ZM
121,92045,Datah,2826.354086,1,Abang,Datah,Karangasem,Bali,Polygon ZM
122,92046,Dauh Peken,328.7985633,1,Tabanan,Dauh Peken,Tabanan,Bali,Polygon ZM
123,92047,Dauh Puri,75.94008025,2,Denpasar Barat,Dauh Puri,Kota Denpasar,Bali,Polygon ZM
124,92048,Dauh Puri Kaja,114.915636,1,Denpasar Utara,Dauh Puri Kaja,Kota Denpasar,Bali,Polygon ZM
125,92049,Dauh Puri Kangin,36.59403867,1,Denpasar Barat,Dauh Puri Kangin,Kota Denpasar,Bali,Polygon ZM
126,92050,Kampung Baru,61.02261467,2,Buleleng,Kampung Baru,Buleleng,Bali,Polygon ZM
127,92051,Kampung Bugis,17.51128361,2,Buleleng,Kampung Bugis,Buleleng,Bali,Polygon ZM
128,92052,Kuta,777.7643202,2,Kuta,Kuta,Badung,Bali,Polygon ZM
129,92053,Kutampi,1193.407543,1,Nusa Penida,Kutampi,Klungkung,Bali,Polygon ZM
130,92054,Kutampi Kaler,732.8646048,1,Nusa Penida,Kutampi Kaler,Klungkung,Bali,Polygon ZM
131,92055,Kutuh,976.2224876,1,Kuta Selatan,Kutuh,Badung,Bali,Polygon ZM
132,92056,Blahbatuh,378.7391329,1,Blahbatuh,Blahbatuh,Gianyar,Bali,Polygon ZM
133,92057,Blahkiuh,405.7196226,1,Abiansemal,Blahkiuh,Badung,Bali,Polygon ZM
134,92058,Bona,231.6583281,1,Blahbatuh,Bona,Gianyar,Bali,Polygon ZM
135,92059,Bondalem,912.8346544,1,Tejakula,Bondalem,Buleleng,Bali,Polygon ZM
136,92060,Dauh Puri Kauh,151.0538708,1,Denpasar Barat,Dauh Puri Kauh,Kota Denpasar,Bali,Polygon ZM
137,92061,Dauh Puri Kelod,156.3458796,1,Denpasar Barat,Dauh Puri Kelod,Kota Denpasar,Bali,Polygon ZM
138,92062,Dauhwaru,1640.683895,2,Jembrana,Dauhwaru,Jembrana,Bali,Polygon ZM
139,92063,Daup,249.6189828,1,Kintamani,Daup,Bangli,Bali,Polygon ZM
140,92064,Dausa,553.4108035,1,Kintamani,Dausa,Bangli,Bali,Polygon ZM
141,92065,Kampung Gelgel,10.32124049,1,Klungkung,Kampung Gelgel,Klungkung,Bali,Polygon ZM
142,92066,Kampung Kajanan,19.19463403,2,Buleleng,Kampung Kajanan,Buleleng,Bali,Polygon ZM
143,92067,Kampung Kusamba,11.60892676,1,Dawan,Kampung Kusamba,Klungkung,Bali,Polygon ZM
144,92068,Kampung Singaraja,2.75997269,2,Buleleng,Kampung Singaraja,Buleleng,Bali,Polygon ZM
145,92069,Kutuh,557.3242919,1,Kintamani,Kutuh,Bangli,Bali,Polygon ZM
146,92070,Kuwum,283.190594,1,Marga,Kuwum,Tabanan,Bali,Polygon ZM
147,92071,Kuwum,351.5162823,1,Mengwi,Kuwum,Badung,Bali,Polygon ZM
148,92072,Laba Sari,423.8412966,1,Abang,Laba Sari,Karangasem,Bali,Polygon ZM
149,92073,Bongan,523.5705692,1,Tabanan,Bongan,Tabanan,Bali,Polygon ZM
150,92074,Bongkasa,416.5874114,1,Abiansemal,Bongkasa,Badung,Bali,Polygon ZM
151,92075,Dawan Kaler,251.4847174,1,Dawan,Dawan Kaler,Klungkung,Bali,Polygon ZM
152,92076,Dawan Klod,338.9934095,1,Dawan,Dawan Klod,Klungkung,Bali,Polygon ZM
