oid_,namobj,luaswh,wadmkc,wadmkd,wadmkk,wadmpr,nddi_mean,elevation_mean,slope_mean,popden_pop_density,bui_mean,ndmi_mean,ntl_mean,ndvi_mean,rwi,POI_EDU_Distance,POI_EDU_Density,POI_HEALTH_Distance,POI_HEALTH_Density,IKP,IKP_Estimasi
0,Gubug,366.1015916,Tabanan,Gubug,Tabanan,Bali,1.279034449,68.46369002,3.452613517,11.02970266,0.2712678,0.048419342,3.04478484,0.542038209,0.1915,0.038645542,0.0,0.006408507,0.0,90.54,88.4789465285812
1,Gulingan,521.8826516,Mengwi,Gulingan,Badung,Bali,1.155167339,127.3568345,3.35219034,22.21880433,0.32683336,0.095385347,3.899487019,0.570388391,1.023,0.047838915,0.0,0.000930648,0.0,91.59,88.70515220238084
2,Kemenuh,698.8783616,Sukawati,Kemenuh,Gianyar,Bali,0.449384228,127.432014,4.030411249,18.43489019,0.363969091,0.106201022,4.246945996,0.618908019,0.1915,0.001364471,0.0,0.0,0.001430864,92.16,88.57813283871063
3,Kenderan,639.4961271,Tegallalang,Kenderan,Gianyar,Bali,0.711028133,386.133529,6.584918922,10.02789171,0.47417985,0.1731437,2.240614507,0.734994599,1.134,0.001902707,0.0,0.011574121,0.0,92.16,88.85459511904752
4,Lukluk,407.9861805,Mengwi,Lukluk,Badung,Bali,1.039154625,102.7737848,2.434130691,40.33004723,0.267231569,0.076835828,4.847164581,0.497839746,0.1915,0.007762106,0.0,0.02071154,0.0,91.59,88.83864010676486
5,Lumbung,732.8302097,Selemadeg Barat,Lumbung,Tabanan,Bali,0.508944496,167.0527126,7.483191454,3.330979769,0.487808822,0.179211005,0.559031456,0.790253863,0.116,0.113050085,0.0,0.11706647,0.0,90.54,86.77045119352994
6,Lumbung Kauh,973.8983367,Selemadeg Barat,Lumbung Kauh,Tabanan,Bali,0.462527623,277.8456713,17.39342368,1.987102771,0.527741011,0.208286682,0.459451364,0.831539631,-0.114,0.12901027,0.0,0.131205497,0.0,90.54,86.76114756257755
7,Bunga Mekar,1696.617155,Nusa Penida,Bunga Mekar,Klungkung,Bali,0.61976664,151.7121824,11.45719681,4.021350178,0.425605603,0.088330022,0.645654046,0.749828855,0.4795,0.038944041,0.0,0.007060417,0.0,87.53,86.56298420124098
8,Bungaya,321.8840707,Bebandem,Bungaya,Karangasem,Bali,1.184433902,195.7129061,5.18979134,14.55525938,0.383936277,0.112668854,1.402984522,0.659952204,0.627,0.063653217,0.0,0.009586892,0.0,85.28,88.51226494222446
9,Bungaya Kangin,301.9472668,Bebandem,Bungaya Kangin,Karangasem,Bali,0.46243254,192.4061625,3.744487728,15.88251827,0.33471299,0.093485511,2.291502134,0.623838113,0.1915,0.056066146,0.0,0.007014866,0.0,85.28,88.13612830038309
10,Bungbungan,300.2568658,Banjarangkan,Bungbungan,Klungkung,Bali,0.596954838,357.5247029,7.18053833,7.475988238,0.51497984,0.162665953,1.655561209,0.739265871,0.62,0.019992982,0.0,0.02169679,0.0,87.53,87.98817314735268
11,Bungkulan,868.4359753,Sawan,Bungkulan,Buleleng,Bali,0.367998114,30.91513315,3.321610031,15.40490346,0.330370534,0.09451074,1.891238689,0.643887922,0.283,0.035304755,0.0,0.061326045,0.0,82.02,87.55302170193993
12,Bunutan,3746.348506,Abang,Bunutan,Karangasem,Bali,0.953178588,331.975666,24.64925061,4.341916856,0.34066419,0.04791196,0.606640727,0.782351647,0.008333333,0.0,0.000266927,0.012145771,0.0,85.28,86.164544152103
